T, density, pressure
1, 1.12882, 0.363783
2, 18.3348, 6.05637
3, 93.0701, 30.8961
4, 294.422, 97.9121
5, 719.112, 239.345
6, 1491.5, 496.648
7, 2763.57, 920.484
8, 4714.96, 1570.73
9, 7552.92, 2516.47
10, 11512.4, 3836.01
11, 16855.8, 5616.85
12, 23873.4, 7955.72
13, 32883, 10958.6
14, 44230, 14740.5
15, 58287.5, 19425.9
16, 75456.1, 25148.3
17, 96164.3, 32050.6
18, 120868, 40284.6
19, 150051, 50011.7
20, 184224, 61402.2
21, 223926, 74635.7
22, 269724, 89901.1
23, 322212, 107396
24, 382012, 127329
25, 449773, 149915
26, 526172, 175381
27, 611914, 203961
28, 707731, 235899
29, 814383, 271449
30, 932658, 310873
31, 1.06337e+06, 354443
32, 1.20736e+06, 402440
33, 1.36551e+06, 455154
34, 1.5387e+06, 512885
35, 1.72787e+06, 575940
36, 1.93397e+06, 644639
37, 2.15798e+06, 719307
38, 2.40091e+06, 800281
39, 2.66379e+06, 887907
40, 2.94769e+06, 982539
41, 3.2537e+06, 1.08454e+06
42, 3.58294e+06, 1.19429e+06
43, 3.93655e+06, 1.31216e+06
44, 4.31572e+06, 1.43854e+06
45, 4.72164e+06, 1.57385e+06
46, 5.15554e+06, 1.71848e+06
47, 5.61868e+06, 1.87286e+06
48, 6.11235e+06, 2.03742e+06
49, 6.63785e+06, 2.21258e+06
50, 7.19653e+06, 2.39881e+06
51, 7.78976e+06, 2.59655e+06
52, 8.41893e+06, 2.80627e+06
53, 9.08546e+06, 3.02845e+06
54, 9.79081e+06, 3.26356e+06
55, 1.05365e+07, 3.51211e+06
56, 1.13239e+07, 3.77459e+06
57, 1.21547e+07, 4.05151e+06
58, 1.30303e+07, 4.3434e+06
59, 1.39525e+07, 4.65078e+06
60, 1.49228e+07, 4.9742e+06
61, 1.59428e+07, 5.3142e+06
62, 1.70142e+07, 5.67134e+06
63, 1.81387e+07, 6.04618e+06
64, 1.93181e+07, 6.43931e+06
65, 2.05541e+07, 6.8513e+06
66, 2.18484e+07, 7.28275e+06
67, 2.3203e+07, 7.73426e+06
68, 2.46196e+07, 8.20646e+06
69, 2.61e+07, 8.69994e+06
70, 2.76463e+07, 9.21536e+06
71, 2.92603e+07, 9.75335e+06
72, 3.09439e+07, 1.03146e+07
73, 3.26991e+07, 1.08996e+07
74, 3.4528e+07, 1.15093e+07
75, 3.64326e+07, 1.21441e+07
76, 3.84149e+07, 1.28049e+07
77, 4.0477e+07, 1.34922e+07
78, 4.2621e+07, 1.42069e+07
79, 4.48491e+07, 1.49496e+07
80, 4.71634e+07, 1.5721e+07
81, 4.95662e+07, 1.6522e+07
82, 5.20596e+07, 1.73531e+07
83, 5.46459e+07, 1.82152e+07
84, 5.73274e+07, 1.9109e+07
85, 6.01065e+07, 2.00354e+07
86, 6.29853e+07, 2.0995e+07
87, 6.59664e+07, 2.19887e+07
88, 6.9052e+07, 2.30172e+07
89, 7.22446e+07, 2.40814e+07
90, 7.55467e+07, 2.51821e+07
91, 7.89607e+07, 2.63201e+07
92, 8.24892e+07, 2.74963e+07
93, 8.61345e+07, 2.87114e+07
94, 8.98994e+07, 2.99664e+07
95, 9.37864e+07, 3.1262e+07
96, 9.77981e+07, 3.25992e+07
97, 1.01937e+08, 3.39789e+07
98, 1.06206e+08, 3.54019e+07
99, 1.10608e+08, 3.68692e+07
100, 1.15145e+08, 3.83816e+07
